doc_id,lemma,supersense,matched_verb,verb_type,sentence
adams1974,rabbit,noun.animal,say,agency,"Some rabbits say he controls the weather , because the wind , the damp and the dew are friends and instruments to rabbits against their enemies ."
adams1974,rabbit,noun.animal,see,experience,"I know what we ought to be looking for a high , lonely place with dry soil , where rabbits can see and hear all round and men hardly ever come ."
adams1974,rabbit,noun.animal,eat,agency,"True , rabbits could not eat these plants : he could smell that ."
adams1974,rabbit,noun.animal,do,agency,Both rabbits did so .
adams1974,cat,noun.animal,do,agency,"He was opening and shutting his mouth and licking his lips , much as a cat does when something disgusts it ."
adams1974,tree,noun.plant,help,agency,"And if we 're fairly close to the wood opposite , the trees will help to break the wind a bit in winter ."
adams1974,buck,noun.animal,help,agency,"This is the natural job of a doe making a home for her litter before they are born , and then her buck helps her ."
adams1974,rabbit,noun.animal,offer,agency,"“ A rabbit called Cowslip offered us shelter here , ” said Hazel ."
adams1974,rabbit,noun.animal,do,agency,""" A rabbit called Laburnum did it , some time ago now ."
adams1974,rabbit,noun.animal,know,agency,"Also , he found that whenever he moved into one group or another the warren rabbits evidently knew who he was and treated him as the leader of the newcomers ."
adams1974,rabbit,noun.animal,refuse,both,""" There is a rabbit saying , “ In the warren , more stories than passages ” ; and a rabbit can no more refuse to tell a story than an Irishman can refuse to fight Hazel and his friends conferred ."
adams1974,animal,noun.animal,know,agency,"* * El - ahrairah , ' replied Prince Rainbow , ‘ all the animals know that you are a thief and a trickster ."
adams1974,rabbit,noun.animal,eat,agency,"Disgusting rabbit , eat that lettuce !"
adams1974,mouse,noun.animal,say,agency,"“ How many field mice say that every night , I wonder ?"
adams1974,buck,noun.animal,do,agency,Solitary bucks and unmated rabbits who are wandering do this for quite long periods especially in summer .
adams1974,rabbit,noun.animal,know,agency,"“ Those rabbits we left - Cowslip and the rest — a lot of - a lot of the things they did were n't natural to rabbits — pushing stones into the earth and carrying food underground and Frith knows what . ” "" The Threarah 's lettuce was carried underground , if it comes to that . ”"
adams1974,rabbit,noun.animal,do,agency,"Do n't you see , they 'd altered what rabbits do naturally because they thought they could do better ?"
adams1974,cat,noun.animal,say,agency,"“ A cat ? ” said Speedwell , wide - eyed ."
adams1974,blade,noun.plant,say,agency,"Can you come with us to our holes ? ” "" Captain , ” said Bluebell , "" do you know what the first blade of grass said to the second blade of grass ? ” Hazel looked at him sharply , but Holly replied , “ Well ? "" "" It said , “ Look , there 's a rabbit !"
adams1974,mouse,noun.animal,do,agency,“ What 's this mouse doing in here ? ” asked Dandelion .
adams1974,mouse,noun.animal,say,agency,"“ You think safe ? ” “ Go now , "" said the mouse ."
adams1974,rabbit,noun.animal,try,agency,A weak rabbit who ca n't Lope to get far by fighting sometimes tries to make himself important by other means and prophecy is a favorite .
adams1974,mouse,noun.animal,save,agency,"But that mouse tonight - we saved his life — ” "" You saved his life , ” said Blackberry ."
adams1974,mouse,noun.animal,know,agency,""" To start with , he can tell us what he knows about the place "" “ What mice know ."
adams1974,Pheasant,noun.animal,say,agency,"' “ ' Pheasant , eh ? said one of the foxes ."
adams1974,fox,noun.animal,say,agency,"“ ' Wounded , eh ? ' said the fox . “ ' No , no , ' said Hufsa ."
adams1974,fox,noun.animal,say,agency,"' “ ' To make what ? ' said the fox . “ ' To make their tails grow longer , ' said Hufsa sulkily ."
adams1974,rabbit,noun.animal,eat,agency,“ Rabbits not eat birds .
adams1974,rabbit,noun.animal,eat,agency,Rabbits eat grass .
adams1974,bird,noun.animal,consider,both,The bird considered .
adams1974,rabbit,noun.animal,manage,agency,"Before ni - Frith the rabbits had managed to produce as much as it could eat — for a time , at all events — and were able to sleep through the heat of the day ."
adams1974,rabbit,noun.animal,see,experience,In the fields of 99 168 ON WATERSHIP DOWN a Sandleford the rabbits had seen men almost every day .
adams1974,rabbit,noun.animal,survive,both,They had learned a good deal about elil from some source or other and seemed sure that few wild rabbits survived for long .
adams1974,rat,noun.animal,suppose,agency,"“ Rats getting too clever , I suppose ? ” The cat made no reply ."
adams1974,rabbit,noun.animal,leave,agency,"The going would be troublesome in the wet , and anyway no self - respecting rabbit could leave without a forage round the sheds ."
adams1974,rabbit,noun.animal,prove,both,"Persuading them will prove nothing , but three or four dead rabbits will prove you 're a fool , when it 's too late ."
adams1974,rabbit,noun.animal,leave,agency,"The going would be troublesome in the wet , and anyway no self - respecting rabbit could leave without a forage round the sheds ."
adams1974,rabbit,noun.animal,prove,both,"Persuading them will prove nothing , but three or four dead rabbits will prove you 're a fool , when it 's too late ."
